legajo;nombreUsuario;contrasena;fechaAlta;fechaUltimoLogin
2034;zachary.mills;gracaias20;21/05/2021;22/6/2025
1500;gloria.washington;casiganamos00;31/03/2024;22/6/2025
5343;timothy.harrison;nachito12;06/09/2023;22/6/2025
7976;michaela.banks;)sC2(Ee@AK;04/09/2022;16/01/2025
2191;sean.parker;u6BLDOBc!U;11/07/2021;02/11/2024
2316;craig.haynes;1xg0I(+u)X;04/04/2021;14/01/2025
2448;nestor.clarinete;^0YFuIq)+r;27/05/2021;20/11/2024
2376;brandon.morrison;carlostevez10;08/12/2021;22/6/2025
3018;james.marsh;uw1E#bxu^b;29/09/2021;22/02/2025
2945;monica.mitchell;monica12;23/11/2022;22/6/2025
